project_id,source_name,source_record_id,project_title_ko,project_title_en,country,region,sector,start_year,end_year,budget_krw,description
PRJ_E1FBF007C93E,koica_humanitarian,2021-02858,우간다 라이노 및 임베피 난민 정착촌 교육 환경에서의 WASH 개선 사업('21-'24/68.5만불),"WASH in School Project in Rhino and Imvepi Refugee Settlement, Northwestern Uganda",우간다,아프리카,분쟁취약지원팀,2021,2024,830000000.0,"우간다 라이노 및 임베피 난민 정착촌 교육 환경에서의 WASH 개선 사업('21-'24/68.5만불) WASH in School Project in Rhino and Imvepi Refugee Settlement, Northwestern Uganda 우간다 아프리카 분쟁취약지원팀"
PRJ_654C04D74BC7,koica_humanitarian,2022-01169,우간다 북부 팔로리냐 남수단 난민 정착촌 WASH 및 보건 위생환경 개선사업('22-'24/82.3만불),"Project for improving the WASH and Public Health Condition for the Refugees of South Sudan in Palorinya Settlement, Uganda",우간다,아프리카,분쟁취약지원팀,2022,2024,930000000.0,"우간다 북부 팔로리냐 남수단 난민 정착촌 WASH 및 보건 위생환경 개선사업('22-'24/82.3만불) Project for improving the WASH and Public Health Condition for the Refugees of South Sudan in Palorinya Settlement, Uganda 우간다 아프리카 분쟁취약지원팀"
PRJ_1C6E4B07C0B0,koica_humanitarian,2022-01170,우간다 차카II 난민정착촌 내 젠더기반폭력 위험 경감 및 난민 여성 역량 강화 사업('22-'24/91.1만불),"Gender-Based Violence(GBV) risk mitigation and empowerment of DRC refugee women in Kyaka II refugee settlement, Uganda",우간다,아프리카,분쟁취약지원팀,2022,2024,1029632814.0,"우간다 차카II 난민정착촌 내 젠더기반폭력 위험 경감 및 난민 여성 역량 강화 사업('22-'24/91.1만불) Gender-Based Violence(GBV) risk mitigation and empowerment of DRC refugee women in Kyaka II refugee settlement, Uganda 우간다 아프리카 분쟁취약지원팀"
PRJ_1C32626E8ACF,koica_humanitarian,2022-01171,방글라데시 로힝야 난민 수용 공동체 여성 심리사회적 회복역량강화 사업 5단계('22-'24/47.7만불),"Psychosocial Support Project for Rohingya Women; Resilience Building, Phase 5",방글라데시,아시아/태평양,분쟁취약지원팀,2022,2024,540000000.0,"방글라데시 로힝야 난민 수용 공동체 여성 심리사회적 회복역량강화 사업 5단계('22-'24/47.7만불) Psychosocial Support Project for Rohingya Women; Resilience Building, Phase 5 방글라데시 아시아/태평양 분쟁취약지원팀"
PRJ_3EA17D0E9659,koica_humanitarian,2022-01172,케냐 칼로베예이 정착촌 난민 및 수용공동체의 통합적 가뭄 대응 역량 강화 사업('22-'24/100만불),Kenya Kalobeyei Integrated Drought Response and Management Project (K-DREAM Project),케냐,아프리카,분쟁취약지원팀,2022,2024,1130000000.0,케냐 칼로베예이 정착촌 난민 및 수용공동체의 통합적 가뭄 대응 역량 강화 사업('22-'24/100만불) Kenya Kalobeyei Integrated Drought Response and Management Project (K-DREAM Project) 케냐 아프리카 분쟁취약지원팀
PRJ_2578D4757321,koica_humanitarian,2023-02186,2023-2024 튀르키예 임시 정착촌 조성 및 이재민 지원 사업,Building and operation of temprorary settlement for erthquake affected people,튀르키예,중동중앙아,분쟁취약지원팀,2023,2024,10483000000.0,2023-2024 튀르키예 임시 정착촌 조성 및 이재민 지원 사업 Building and operation of temprorary settlement for erthquake affected people 튀르키예 중동중앙아 분쟁취약지원팀
PRJ_E26E5A13622F,koica_humanitarian,2024-03356,2024 앙골라 남서부지역 엘니뇨 기반 식량위기 대응 식량 바우처 지원 사업,South West Angola El-Nino Induced Emergency Food Voucher Program,앙골라,아프리카,분쟁취약지원팀,2024,2024,200000000.0,2024 앙골라 남서부지역 엘니뇨 기반 식량위기 대응 식량 바우처 지원 사업 South West Angola El-Nino Induced Emergency Food Voucher Program 앙골라 아프리카 분쟁취약지원팀
PRJ_3BBADA2C521D,koica_humanitarian,2024-03358,2024 마다가스카르 남부지역 기근 대응 긴급구호 사업,Emergency Relief in Southern Madagascar,마다가스카르,아프리카,분쟁취약지원팀,2024,2024,200000000.0,2024 마다가스카르 남부지역 기근 대응 긴급구호 사업 Emergency Relief in Southern Madagascar 마다가스카르 아프리카 분쟁취약지원팀
PRJ_C9301E4165C4,koica_humanitarian,2024-03355,2024 부르키나파소 북부 누르드 지역 분쟁으로 인한 춘궁기 식량위기 대응 사업,"Lean Season and Conflict-induced Food Security and Livelihood Response in the Nord region, Burkina Faso",부르키나파소,아프리카,분쟁취약지원팀,2024,2024,200000000.0,"2024 부르키나파소 북부 누르드 지역 분쟁으로 인한 춘궁기 식량위기 대응 사업 Lean Season and Conflict-induced Food Security and Livelihood Response in the Nord region, Burkina Faso 부르키나파소 아프리카 분쟁취약지원팀"
PRJ_4B7EB7E13C46,koica_humanitarian,2024-03353,"2024 말라위 시콰와, 발라카 군 기후변화로 인한 급성식량위기 긴급구호 사업","Strengthening Food Security and Resilience to Climate Induced Food Insecurity in Chikwawa and Balaka Districts, Malawi",말라위,아프리카,분쟁취약지원팀,2024,2024,200000000.0,"2024 말라위 시콰와, 발라카 군 기후변화로 인한 급성식량위기 긴급구호 사업 Strengthening Food Security and Resilience to Climate Induced Food Insecurity in Chikwawa and Balaka Districts, Malawi 말라위 아프리카 분쟁취약지원팀"
