기관구분,등록기관,등록번호,유형,단체명,대표자,소재지,주된사업,연락처,등록일,주관과
중앙행정기관,재정경제부,4,사단법인,바른경제동호인회,조 순,"서울특별시 서초구 서초중앙로22길 117, 5층(서초동, 그라비타스빌딩)",기업윤리 확립 및 민간부패방지를 위한 세미나 등,02-730-4021,2000-05-25,종합정책과
중앙행정기관,재정경제부,2,,행정개혁시민연합,"송하중, 남궁근, 서영복",서울시 종로구 율곡로 55 동신빌딩 401호(03085),"조사연구, 시민조직 등 행정개혁시민운동
-시민교육, 캠페인 등 반부패국민운동
-주민자치운동, 분권과 참여를 위한 시민운동",02-743-6750,2000-05-31,종합정책과
중앙행정기관,재정경제부,1,,경제정의실천시민연합,윤순철,서울특별시 종로구 동숭 3길 26-9,"조사연구, 시민조직, 시민교육, 시민고발센터운영 및 보호구조 등",02-766-5626,2002-03-18,종합정책과
중앙행정기관,재정경제부,5,사단법인,조세정의를위한 한국납세자연합회,김갑순,서울특별시 강남구 역삼동 642-19 역삼하이츠 1317호,"납세자권익보호, 납세인프라 구축 등",02-3452-8372,2002-03-29,조세정책과
중앙행정기관,재정경제부,6,사단법인,북한경제포럼,조동호,"서울특별시 서대문구 이화여대길52, 포스코관 323호","북한경제의 이론, 정책, 역사 및 현실상황 등에 관한 제반연구",02-569-5478,2004-05-11,남북경제과
중앙행정기관,재정경제부,7,,국제미래학회,이남식,"서울특별시 서대문구 신촌로 203, 대현빌딩 6층 (대현동)","미래사회에 대응하기 위한 미래 지식경제에 관한 학술활동, 미래사회 변화에 관한 연구, 학술지 발행, 국제간 학술교류, 미래사회 변화에 대한 지원사업 등의 사업",,2011-10-24,종합정책과
중앙행정기관,재정경제부,제8호,,사단법인 한국납세자연대,남우진,"서울특별시 강남구 선릉로 100길 30, 지하1층 104호(삼성동, 유니콘빌딩)","조세제도 및 세정 운영에 대한 조사,연구 및 정책제",,2025-10-20,조세정책과
중앙행정기관,기획예산처,3,사단법인,국가미래정책포럼,김성태,"서울특별시 종로구 동숭2길 9, 동영빌딩 2층 (동숭동)",. 미래예측 방법론 개발을 통한 미래 국정운영시스템 제시 . 미래예측 지식융합을 통해 미래 국가 정책 비전 및 대안 제시,02-760-0374,2007-12-26,미래정책총괄과
중앙행정기관,공정거래위원회,1,사단법인,한국소비자연맹,강정화,서울특별시 용산구 독서당로20길 1-7 (한남동),"소비자 상담,정보제공, 소비자교육, 조사연구",02-795-1994,2000-05-22,소비자정책과
중앙행정기관,공정거래위원회,13,사단법인,소비자공익네트워크,김연화,서울특별시 마포구 독막로6길 11,"소비자 보호, 환경보전사업, 여성인권보장",02-325-3300,2000-05-22,소비자정책과
